Name,cs_group,Category,Location,latitude,longitude
DH08_A,A,House,Dernau,50.53375166666667,7.054318333333334
DH09_A,A,House,Dernau,50.53375166666667,7.054318333333334
DH10_A,A,House,Dernau,50.53364833333333,7.054336666666667
DH11_A,A,House,Dernau,50.53365333333333,7.0544883333333335
DH12_A,A,House,Dernau,50.533471666666664,7.054281666666666
DH13_A,A,House,Dernau,50.533471666666664,7.054281666666666
DH14_A,A,House,Dernau,50.533946666666665,7.054163333333333
DH15_A,A,House,Dernau,50.533946666666665,7.054163333333333
DH16,-,House,Dernau,50.533831666666664,7.054881666666667
DH17_B,B,House,Dernau,50.53444833333333,7.055715
DH18_B,B,House,Dernau,50.534485,7.055726666666667
DH19_B,B,House,Dernau,50.53449,7.055926666666666
DH20_C,C,House,Dernau,50.53456666666666,7.055936666666667
DH21_C,C,House,Dernau,50.534605,7.055958333333333
DH22_C,C,House,Dernau,50.534405,7.056143333333333
DH23_D,D,House,Dernau,50.534985,7.056461666666666
DH24_D,D,House,Dernau,50.53508333333333,7.05705
DH25_D,D,House,Dernau,50.53508333333333,7.05705
DH26_E,E,House,Dernau,50.535601666666665,7.05706
DH27_E,E,House,Dernau,50.535601666666665,7.05706
DH28_E,E,House,Dernau,50.53561666666667,7.0569983333333335
DH29_E,E,House,Dernau,50.53564,7.05692
DH30_E,E,House,Dernau,50.53570666666667,7.057128333333333
DH31_E,E,House,Dernau,50.5357,7.057248333333333
DH32,-,House,Dernau,50.532380555555555,7.065713888888888
DH33,-,House,Dernau,50.53241666666666,7.0657499999999995
DH34,-,House,Dernau,50.53245277777778,7.065786111111111
DH35_F,F,House,Dernau,50.53247222222222,7.0658055555555555
DH36_F,F,House,Dernau,50.53247222222222,7.0658055555555555
DH37_F,F,House,Dernau,50.53247222222222,7.0658055555555555
DH38_F,F,House,Dernau,50.53266388888889,7.065997222222222
DH39_F,F,House,Dernau,50.53266388888889,7.065997222222222
DH40_F,F,House,Dernau,50.53266388888889,7.065997222222222
DH41_F,F,House,Dernau,50.53268333333333,7.066016666666666
DH42,-,House,Dernau,50.53266388888889,7.065997222222222
DH43_G,G,House,Dernau,50.53266111111111,7.065994444444445
DH44_G,G,House,Dernau,50.53264444444444,7.0659777777777775
DH45_G,G,House,Dernau,50.53258888888889,7.065922222222222
DH46_G,G,House,Dernau,50.53274444444445,7.066077777777777
DH47_H,H,House,Dernau,50.53275277777778,7.066086111111111
DH48_H,H,House,Dernau,50.53275277777778,7.066086111111111
DH49_H,H,House,Dernau,50.53286388888889,7.066197222222222
DH50_H,H,House,Dernau,50.53286388888889,7.066197222222222
DH51_H,H,House,Dernau,50.53286388888889,7.066197222222222
DH52_H,H,House,Dernau,50.53299722222222,7.066330555555555
DH53_H,H,House,Dernau,50.53299722222222,7.066330555555555
